['273.30', 'Aug 21, 12:20', ' 3.75 (1.39%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['273.30', 'Aug 21, 12:20', ' 3.75 (1.39%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['273.50', 'Aug 21, 12:27', ' 3.95 (1.47%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['272.50', 'Aug 21, 12:36', ' 2.95 (1.09%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['272.90', 'Aug 21, 12:41', ' 3.35 (1.24%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['273.20', 'Aug 21, 12:45', ' 3.65 (1.35%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['273.20', 'Aug 21, 12:45', ' 3.65 (1.35%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['273.10', 'Aug 21, 12:55', ' 3.55 (1.32%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['272.90', 'Aug 21, 13:00', ' 3.35 (1.24%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['272.80', 'Aug 21, 13:06', ' 3.25 (1.21%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['273.00', 'Aug 21, 13:10', ' 3.45 (1.28%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['273.00', 'Aug 21, 13:16', ' 3.45 (1.28%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['273.15', 'Aug 21, 13:20', ' 3.6 (1.34%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['273.30', 'Aug 21, 13:26', ' 3.75 (1.39%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['273.35', 'Aug 21, 13:28', ' 3.8 (1.41%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['272.70', 'Aug 21, 13:36', ' 3.15 (1.17%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['272.70', 'Aug 21, 13:36', ' 3.15 (1.17%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['273.00', 'Aug 21, 13:42', ' 3.45 (1.28%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['272.60', 'Aug 21, 13:50', ' 3.05 (1.13%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['272.30', 'Aug 21, 13:55', ' 2.75 (1.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['270.90', 'Aug 21, 14:00', ' 1.35 (0.5%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['271.25', 'Aug 21, 14:02', ' 1.7 (0.63%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['271.55', 'Aug 21, 14:08', ' 2 (0.74%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['271.95', 'Aug 21, 14:16', ' 2.4 (0.89%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['271.85', 'Aug 21, 14:20', ' 2.3 (0.85%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['271.75', 'Aug 21, 14:23', ' 2.2 (0.82%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['271.50', 'Aug 21, 14:29', ' 1.95 (0.72%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['270.95', 'Aug 21, 14:36', ' 1.4 (0.52%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['270.95', 'Aug 21, 14:36', ' 1.4 (0.52%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['270.50', 'Aug 21, 14:40', ' 0.95 (0.35%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['270.60', 'Aug 21, 14:50', ' 1.05 (0.39%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['270.45', 'Aug 21, 14:55', ' 0.9 (0.33%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['270.25', 'Aug 21, 15:00', ' 0.7 (0.26%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['269.10', 'Aug 21, 15:06', ' -0.45 (-0.17%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['269.30', 'Aug 21, 15:10', ' -0.25 (-0.09%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['268.40', 'Aug 21, 15:16', ' -1.15 (-0.43%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['268.50', 'Aug 21, 15:20', ' -1.05 (-0.39%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['268.30', 'Aug 21, 15:25', ' -1.25 (-0.46%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['268.30', 'Aug 21, 15:30', ' -1.25 (-0.46%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['268.30', 'Aug 21, 15:32', ' -1.25 (-0.46%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['269.05', 'Aug 21, 15:40', ' -0.5 (-0.19%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['269.05', 'Aug 21, 15:45', ' -0.5 (-0.19%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['269.05', 'Aug 21, 15:50', ' -0.5 (-0.19%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['269.05', 'Aug 21, 15:50', ' -0.5 (-0.19%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['269.05', 'Aug 21, 16:00', ' -0.5 (-0.19%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['269.05', 'Aug 21, 16:00', ' -0.5 (-0.19%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
