['250.25', 'Aug 10, 15:59', ' -7.25 (-2.82%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['247.75', 'Aug 13, 13:52', ' -2.5 (-1%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['247.55', 'Aug 13, 14:01', ' -2.7 (-1.08%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['247.55', 'Aug 13, 14:01', ' -2.7 (-1.08%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['246.95', 'Aug 13, 14:06', ' -3.3 (-1.32%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['247.20', 'Aug 13, 14:11', ' -3.05 (-1.22%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['247.40', 'Aug 13, 14:16', ' -2.85 (-1.14%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['247.95', 'Aug 13, 14:25', ' -2.3 (-0.92%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.00', 'Aug 13, 14:30', ' -2.25 (-0.9%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.00', 'Aug 13, 14:36', ' -2.25 (-0.9%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['247.90', 'Aug 13, 14:41', ' -2.35 (-0.94%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.00', 'Aug 13, 14:56', ' -2.25 (-0.9%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.00', 'Aug 13, 14:56', ' -2.25 (-0.9%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['247.95', 'Aug 13, 15:01', ' -2.3 (-0.92%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['247.95', 'Aug 13, 15:01', ' -2.3 (-0.92%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['247.95', 'Aug 13, 15:01', ' -2.3 (-0.92%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.00', 'Aug 13, 15:08', ' -2.25 (-0.9%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.00', 'Aug 13, 15:08', ' -2.25 (-0.9%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.00', 'Aug 13, 15:08', ' -2.25 (-0.9%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.00', 'Aug 13, 15:14', ' -2.25 (-0.9%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.00', 'Aug 13, 15:14', ' -2.25 (-0.9%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.00', 'Aug 13, 15:14', ' -2.25 (-0.9%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.90', 'Aug 13, 15:19', ' -1.35 (-0.54%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.90', 'Aug 13, 15:19', ' -1.35 (-0.54%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.90', 'Aug 13, 15:19', ' -1.35 (-0.54%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['249.05', 'Aug 13, 15:24', ' -1.2 (-0.48%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['249.05', 'Aug 13, 15:24', ' -1.2 (-0.48%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.90', 'Aug 13, 15:29', ' -1.35 (-0.54%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.90', 'Aug 13, 15:29', ' -1.35 (-0.54%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.90', 'Aug 13, 15:29', ' -1.35 (-0.54%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
